ID,REPL,TIME,EVID,DV,RIF,INH,EMB,PZA,SM,PAS,EXPR,PH,THRP,LOQ,AGR,NDV,EVIDLQ,NATG,IDEXPR,PLOT
12,2,1,0,8.53,.,.,.,.,.,.,1,7,1,0,0,5066.978691,0,0,12,4
12,2,2,0,7.31,.,.,.,.,.,.,1,7,1,0,0,1495.177189,0,0,12,4
12,2,3,0,7.06,.,.,.,.,.,.,1,7,1,0,0,1167.009765,0,0,12,4
12,2,6,0,8.19,.,.,.,.,.,.,1,7,1,0,0,3602.920336,0,0,12,4
13,2,0,0,13.19,0,0.625,0,0,0,0,1,7,1,0,0,532852.5376,0,0,13,5
13,2,1,0,7.32,.,.,.,.,.,.,1,7,1,0,0,1505.077995,0,0,13,5
13,2,2,0,5.55,.,.,.,.,.,.,1,7,1,0,0,257.8298832,0,0,13,5
13,2,3,0,4.72,.,.,.,.,.,.,1,7,1,0,0,112.5502738,0,0,13,5
13,2,6,0,4.18,.,.,.,.,.,.,1,7,1,0,0,65.42470896,0,0,13,5
14,2,0,0,13.19,0,2.5,0,0,0,0,1,7,1,0,0,532852.5376,0,0,14,6
14,2,1,2,7.13,.,.,.,.,.,.,1,7,1,0,0,1248.252685,2,0,14,6
14,2,2,0,5.26,.,.,.,.,.,.,1,7,1,0,0,193.3302758,0,0,14,6
14,2,3,0,4.38,.,.,.,.,.,.,1,7,1,0,0,79.47162184,0,0,14,6
14,2,6,0,3.69,.,.,.,.,.,.,1,7,1,0,0,40.10897,0,0,14,6
15,2,0,0,13.19,0,10,0,0,0,0,1,7,1,0,0,532852.5376,0,0,15,7
15,2,1,0,6.97,.,.,.,.,.,.,1,7,1,0,0,1059.23264,0,0,15,7
15,2,2,0,4.83,.,.,.,.,.,.,1,7,1,0,0,125.0858123,0,0,15,7
15,2,3,0,3.73,.,.,.,.,.,.,1,7,1,0,0,41.71663625,0,0,15,7
15,2,6,0,2.86,.,.,.,.,.,.,1,7,1,0,0,17.37965032,0,0,15,7
16,2,0,0,13.19,0,40,0,0,0,0,1,7,1,0,0,532852.5376,0,0,16,8
16,2,1,0,6.47,.,.,.,.,.,.,1,7,1,0,0,645.6774011,0,0,16,8
16,2,2,0,3.20,.,.,.,.,.,.,1,7,1,0,0,24.53007707,0,0,16,8
16,2,3,0,1.60,.,.,.,.,.,.,1,7,1,0,0,4.96443751,2,0,16,8
16,2,6,0,1.38,.,.,.,.,.,.,1,7,1,0,0,3.966166456,0,0,16,8
17,1,0,0,13.19,0,0,0,0,0,0,2,7,1,0,0,532852.5376,0,1,1,1
17,1,1,0,13.51,.,.,.,.,.,.,2,7,1,0,0,735275.1045,0,1,1,1
17,1,2,0,14.05,.,.,.,.,.,.,2,7,1,0,0,1262999.493,0,1,1,1
17,1,3,0,14.73,.,.,.,.,.,.,2,7,1,0,0,2493006.575,0,1,1,1
17,1,6,0,17.03,.,.,.,.,.,.,2,7,1,0,0,24915483.61,0,1,1,1
18,1,0,0,13.19,0.002,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,2,9
18,1,1,0,12.94,.,.,.,.,.,.,2,7,1,0,0,417901.0663,0,0,2,9
18,1,2,0,12.76,.,.,.,.,.,.,2,7,1,0,0,346625.4219,0,0,2,9
18,1,3,0,12.62,.,.,.,.,.,.,2,7,1,0,0,303155.1501,0,0,2,9
18,1,6,0,12.43,.,.,.,.,.,.,2,7,1,0,0,250947.7427,0,0,2,9
19,1,0,0,13.19,0.008,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,3,10
19,1,1,0,12.39,.,.,.,.,.,.,2,7,1,0,0,239186.7724,0,0,3,10
19,1,2,0,11.61,.,.,.,.,.,.,2,7,1,0,0,109974.0821,0,0,3,10
19,1,3,0,10.85,.,.,.,.,.,.,2,7,1,0,0,51740.70078,0,0,3,10
19,1,6,0,8.72,.,.,.,.,.,.,2,7,1,0,0,6116.222828,0,0,3,10
20,1,0,0,13.19,0.03,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,4,11
20,1,1,0,11.92,.,.,.,.,.,.,2,7,1,0,0,150843.7784,0,0,4,11
20,1,2,0,10.73,.,.,.,.,.,.,2,7,1,0,0,45524.23042,0,0,4,11
20,1,3,0,9.59,.,.,.,.,.,.,2,7,1,0,0,14544.96261,0,0,4,11
20,1,6,0,6.42,.,.,.,.,.,.,2,7,1,0,0,613.0827999,0,0,4,11
21,1,0,0,13.19,0.125,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,5,12
21,1,1,0,11.68,.,.,.,.,.,.,2,7,1,0,0,117948.1028,0,0,5,12
21,1,2,0,10.28,.,.,.,.,.,.,2,7,1,0,0,29202.21963,0,0,5,12
21,1,3,0,8.98,.,.,.,.,.,.,2,7,1,0,0,7922.008095,0,0,5,12
21,1,6,0,5.35,.,.,.,.,.,.,2,7,1,0,0,210.9666365,0,0,5,12
22,1,0,0,13.19,0.5,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,6,13
22,1,1,0,11.35,.,.,.,.,.,.,2,7,1,0,0,85135.55246,0,0,6,13
22,1,2,0,9.53,.,.,.,.,.,.,2,7,1,0,0,13816.24013,0,0,6,13
22,1,3,0,7.73,.,.,.,.,.,.,2,7,1,0,0,2279.474015,0,0,6,13
22,1,6,0,2.41,.,.,.,.,.,.,2,7,1,0,0,11.14844471,0,0,6,13
23,1,0,0,13.19,2,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,7,14
23,1,1,0,11.22,.,.,.,.,.,.,2,7,1,0,0,74757.13962,0,0,7,14
23,1,2,0,9.26,.,.,.,.,.,.,2,7,1,0,0,10489.18494,0,0,7,14
23,1,3,0,7.29,.,.,.,.,.,.,2,7,1,0,0,1471.739039,0,0,7,14
23,1,6,0,1.40,.,.,.,.,.,.,2,7,1,0,0,4.066570438,0,0,7,14
24,1,0,0,13.19,8,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,8,15
24,1,1,0,11.21,.,.,.,.,.,.,2,7,1,0,0,74161.46836,0,0,8,15
24,1,2,0,9.24,.,.,.,.,.,.,2,7,1,0,0,10311.34475,0,0,8,15
24,1,3,0,7.27,.,.,.,.,.,.,2,7,1,0,0,1434.25381,0,0,8,15
24,1,6,0,1.35,.,.,.,.,.,.,2,7,1,0,0,3.861671033,0,0,8,15
26,2,0,0,13.19,0.002,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,11,9
26,2,1,0,12.94,.,.,.,.,.,.,2,7,1,0,0,417901.0663,0,0,11,9
26,2,2,0,12.76,.,.,.,.,.,.,2,7,1,0,0,346625.4219,0,0,11,9
26,2,3,0,12.62,.,.,.,.,.,.,2,7,1,0,0,303155.1501,0,0,11,9
26,2,6,0,12.43,.,.,.,.,.,.,2,7,1,0,0,250947.7427,0,0,11,9
27,2,0,0,13.19,0.008,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,12,10
27,2,1,0,12.39,.,.,.,.,.,.,2,7,1,0,0,239186.7724,0,0,12,10
27,2,2,0,11.61,.,.,.,.,.,.,2,7,1,0,0,109974.0821,0,0,12,10
27,2,3,0,10.85,.,.,.,.,.,.,2,7,1,0,0,51740.70078,0,0,12,10
27,2,6,0,8.72,.,.,.,.,.,.,2,7,1,0,0,6116.222828,0,0,12,10
28,2,0,0,13.19,0.03,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,13,11
28,2,1,0,11.92,.,.,.,.,.,.,2,7,1,0,0,150843.7784,0,0,13,11
